	a 		 b 		 sigma 		 Ps 
   2.4957055e+01	   9.7866331e-02	   9.6147483e-01	   3.9365093e-01	
   2.4957055e+01	   9.7866333e-02	   9.6147483e-01	   3.9365092e-01	   9.9568093e-01	
   2.4957055e+01	   9.7866333e-02	   9.6147483e-01	   3.9365092e-01	   9.9568093e-01	
   2.4957055e+01	   9.7866333e-02	   9.6147483e-01	   3.9365092e-01	   9.9568093e-01	
